date,planet_path,alignment
2018-01-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-01-01.tif,True
2018-02-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-02-01.tif,True
2018-03-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-03-01.tif,True
2018-04-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-04-01.tif,True
2018-05-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-05-01.tif,True
2018-06-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-06-01.tif,True
2018-07-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-07-01.tif,True
2018-08-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-08-01.tif,True
2018-09-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-09-01.tif,True
2018-10-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-10-01.tif,True
2018-11-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-11-01.tif,True
2018-12-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-12-01.tif,True
2019-01-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2019-01-01.tif,True
2019-02-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2019-02-01.tif,True
2019-03-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2019-03-01.tif,True
2019-04-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2019-04-01.tif,True
2019-05-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2019-05-01.tif,True
2019-06-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2019-06-01.tif,True
2019-07-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2019-07-01.tif,True
2019-08-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2019-08-01.tif,True
2019-09-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2019-09-01.tif,True
2019-10-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2019-10-01.tif,True
2019-11-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2019-11-01.tif,True
2019-12-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2019-12-01.tif,True
2018-01-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.18N/planet/18N/24E-187N/2415_3082_13/PF-SR/2018-01-01.tif,True
2018-02-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.18N/planet/18N/24E-187N/2415_3082_13/PF-SR/2018-02-01.tif,True
2018-03-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.18N/planet/18N/24E-187N/2415_3082_13/PF-SR/2018-03-01.tif,True
2018-04-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.18N/planet/18N/24E-187N/2415_3082_13/PF-SR/2018-04-01.tif,True
2018-05-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.18N/planet/18N/24E-187N/2415_3082_13/PF-SR/2018-05-01.tif,True
2018-06-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.18N/planet/18N/24E-187N/2415_3082_13/PF-SR/2018-06-01.tif,True
2018-07-01,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.18N/planet/18N/24E-187N/2415_3082_13/PF-SR/2018-07-01.tif,True
