label,key,train_test,labels_path,planet_path,country,continent,date,alignment
4397_4302_13_33S,4397_4302_13,train,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/labels/labels/4397_4302_13_33S/Labels/Raster/33S-13E-9S-L3H-SR/33S-13E-9S-L3H-SR-2018_01_01.tif,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-01-01.tif,Angola,Africa,2018-01-01,True
4397_4302_13_33S,4397_4302_13,train,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/labels/labels/4397_4302_13_33S/Labels/Raster/33S-13E-9S-L3H-SR/33S-13E-9S-L3H-SR-2018_02_01.tif,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-02-01.tif,Angola,Africa,2018-02-01,True
4397_4302_13_33S,4397_4302_13,train,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/labels/labels/4397_4302_13_33S/Labels/Raster/33S-13E-9S-L3H-SR/33S-13E-9S-L3H-SR-2018_03_01.tif,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-03-01.tif,Angola,Africa,2018-03-01,True
4397_4302_13_33S,4397_4302_13,train,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/labels/labels/4397_4302_13_33S/Labels/Raster/33S-13E-9S-L3H-SR/33S-13E-9S-L3H-SR-2018_04_01.tif,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-04-01.tif,Angola,Africa,2018-04-01,True
4397_4302_13_33S,4397_4302_13,train,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/labels/labels/4397_4302_13_33S/Labels/Raster/33S-13E-9S-L3H-SR/33S-13E-9S-L3H-SR-2018_05_01.tif,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-05-01.tif,Angola,Africa,2018-05-01,True
4397_4302_13_33S,4397_4302_13,train,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/labels/labels/4397_4302_13_33S/Labels/Raster/33S-13E-9S-L3H-SR/33S-13E-9S-L3H-SR-2018_06_01.tif,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-06-01.tif,Angola,Africa,2018-06-01,True
4397_4302_13_33S,4397_4302_13,train,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/labels/labels/4397_4302_13_33S/Labels/Raster/33S-13E-9S-L3H-SR/33S-13E-9S-L3H-SR-2018_07_01.tif,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-07-01.tif,Angola,Africa,2018-07-01,True
4397_4302_13_33S,4397_4302_13,train,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/labels/labels/4397_4302_13_33S/Labels/Raster/33S-13E-9S-L3H-SR/33S-13E-9S-L3H-SR-2018_08_01.tif,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-08-01.tif,Angola,Africa,2018-08-01,True
4397_4302_13_33S,4397_4302_13,train,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/labels/labels/4397_4302_13_33S/Labels/Raster/33S-13E-9S-L3H-SR/33S-13E-9S-L3H-SR-2018_09_01.tif,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-09-01.tif,Angola,Africa,2018-09-01,True
4397_4302_13_33S,4397_4302_13,train,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/labels/labels/4397_4302_13_33S/Labels/Raster/33S-13E-9S-L3H-SR/33S-13E-9S-L3H-SR-2018_10_01.tif,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-10-01.tif,Angola,Africa,2018-10-01,True
4397_4302_13_33S,4397_4302_13,train,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/labels/labels/4397_4302_13_33S/Labels/Raster/33S-13E-9S-L3H-SR/33S-13E-9S-L3H-SR-2018_11_01.tif,../../../../tsi/data_education/fil_rouge_Airbus_2025/dynamic_earth_net/planet.33S/planet/33S/12E-375N/4397_4302_13/PF-SR/2018-11-01.tif,Angola,Africa,2018-11-01,True
